Ran 1000 trials (size 10×10, density 0.200, threshold 0.900). Steps (min, max, mean±stddev): 2, 46, 9.8 ± 6.
Ran 1000 trials (size 45×45, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 3, 20, 6.4 ± 2.
Ran 1000 trials (size 46×46, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 4, 16, 6.5 ± 2.
Ran 1000 trials (size 47×47, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 3, 16, 6.5 ± 2.
Ran 1000 trials (size 48×48, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 3, 18, 6.6 ± 2.
Ran 1000 trials (size 49×49, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 3, 17, 6.6 ± 2.
Ran 1000 trials (size 50×50, density 0.400, threshold 0.900). Steps (min, max, mean±stddev): 4, 18, 6.7 ± 2.
Ran 1000 trials (size 10×10, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 0, 6, 1.1 ± 1.
Ran 1000 trials (size 11×11, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 0, 4, 1.2 ± 1.
Ran 1000 trials (size 12×12, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 0, 4, 1.2 ± 1.
Ran 1000 trials (size 13×13, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 0, 5, 1.4 ± 1.
Ran 1000 trials (size 14×14, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 0, 7, 1.4 ± 1.
Ran 1000 trials (size 15×15, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 0, 7, 1.5 ± 1.
Ran 1000 trials (size 16×16, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 0, 9, 1.5 ± 1.
Ran 1000 trials (size 17×17, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 0, 5, 1.6 ± 1.
Ran 1000 trials (size 18×18, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 0, 7, 1.7 ± 1.
Ran 1000 trials (size 19×19, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 0, 6, 1.7 ± 1.
Ran 1000 trials (size 20×20, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 0, 5, 1.8 ± 1.
Ran 1000 trials (size 21×21, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 0, 5, 1.8 ± 1.
Ran 1000 trials (size 22×22, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 6, 1.9 ± 1.
Ran 1000 trials (size 23×23, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 6, 1.9 ± 1.
Ran 1000 trials (size 24×24, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 7, 2.0 ± 1.
Ran 1000 trials (size 25×25, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 5, 2.0 ± 1.
Ran 1000 trials (size 26×26, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 5, 2.1 ± 1.
Ran 1000 trials (size 27×27, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 6, 2.1 ± 1.
Ran 1000 trials (size 28×28, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 6, 2.2 ± 1.
Ran 1000 trials (size 29×29, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 8, 2.2 ± 1.
Ran 1000 trials (size 30×30, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 7, 2.3 ± 1.
Ran 1000 trials (size 31×31, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 5, 2.2 ± 1.
Ran 1000 trials (size 32×32, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 7, 2.4 ± 1.
Ran 1000 trials (size 33×33, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 7, 2.4 ± 1.
Ran 1000 trials (size 34×34, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 6, 2.5 ± 1.
Ran 1000 trials (size 35×35, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 7, 2.5 ± 1.
Ran 1000 trials (size 36×36, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 7, 2.5 ± 1.
Ran 1000 trials (size 37×37, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 7, 2.5 ± 1.
Ran 1000 trials (size 38×38, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 7, 2.6 ± 1.
Ran 1000 trials (size 39×39, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 6, 2.7 ± 1.
Ran 1000 trials (size 40×40, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 7, 2.7 ± 1.
Ran 1000 trials (size 41×41, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 8, 2.7 ± 1.
Ran 1000 trials (size 42×42, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 7, 2.7 ± 1.
Ran 1000 trials (size 43×43, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 6, 2.7 ± 1.
Ran 1000 trials (size 44×44, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 7, 2.8 ± 1.
Ran 1000 trials (size 45×45, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 8, 2.8 ± 1.
Ran 1000 trials (size 46×46, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 6, 2.9 ± 1.
Ran 1000 trials (size 47×47, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 6, 2.9 ± 1.
Ran 1000 trials (size 48×48, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 6, 2.9 ± 1.
Ran 1000 trials (size 49×49, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 7, 3.0 ± 1.
Ran 1000 trials (size 50×50, density 0.500, threshold 0.900). Steps (min, max, mean±stddev): 1, 6, 3.0 ± 1.
Ran 1000 trials (size 10×10, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 2, 0.3 ± 0.
Ran 1000 trials (size 11×11, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 4, 0.3 ± 1.
Ran 1000 trials (size 12×12, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 2, 0.4 ± 1.
Ran 1000 trials (size 13×13, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 3, 0.4 ± 1.
Ran 1000 trials (size 14×14, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 4, 0.4 ± 1.
Ran 1000 trials (size 15×15, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 2, 0.4 ± 1.
Ran 1000 trials (size 16×16, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 3, 0.4 ± 1.
Ran 1000 trials (size 17×17, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 2, 0.5 ± 1.
Ran 1000 trials (size 18×18, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 3, 0.5 ± 1.
Ran 1000 trials (size 19×19, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 2, 0.5 ± 1.
Ran 1000 trials (size 20×20, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 3, 0.5 ± 1.
Ran 1000 trials (size 21×21, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 3, 0.5 ± 1.
Ran 1000 trials (size 22×22, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 2, 0.5 ± 1.
Ran 1000 trials (size 23×23, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 2, 0.6 ± 1.
Ran 1000 trials (size 24×24, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 3, 0.6 ± 1.
Ran 1000 trials (size 25×25, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 2, 0.6 ± 1.
Ran 1000 trials (size 26×26, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 3, 0.6 ± 1.
Ran 1000 trials (size 27×27, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 3, 0.6 ± 1.
Ran 1000 trials (size 28×28, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 2, 0.6 ± 0.
Ran 1000 trials (size 29×29, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 2, 0.6 ± 0.
Ran 1000 trials (size 30×30, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 2, 0.6 ± 0.
Ran 1000 trials (size 31×31, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 3, 0.7 ± 1.
Ran 1000 trials (size 32×32, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 3, 0.7 ± 0.
Ran 1000 trials (size 33×33, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 3, 0.7 ± 0.
Ran 1000 trials (size 34×34, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 2, 0.7 ± 0.
Ran 1000 trials (size 35×35, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 2, 0.7 ± 0.
Ran 1000 trials (size 36×36, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 2, 0.7 ± 0.
Ran 1000 trials (size 37×37, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 2, 0.8 ± 0.
Ran 1000 trials (size 38×38, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 2, 0.7 ± 0.
Ran 1000 trials (size 39×39, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 3, 0.7 ± 0.
Ran 1000 trials (size 40×40, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 2, 0.7 ± 0.
Ran 1000 trials (size 41×41, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 3, 0.8 ± 0.
Ran 1000 trials (size 42×42, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 3, 0.8 ± 0.
Ran 1000 trials (size 43×43, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 3, 0.8 ± 0.
Ran 1000 trials (size 44×44, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 3, 0.8 ± 0.
Ran 1000 trials (size 45×45, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 3, 0.8 ± 0.
Ran 1000 trials (size 46×46, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 3, 0.8 ± 0.
Ran 1000 trials (size 47×47, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 3, 0.8 ± 0.
Ran 1000 trials (size 48×48, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 2, 0.8 ± 0.
Ran 1000 trials (size 49×49, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 3, 0.8 ± 0.
Ran 1000 trials (size 50×50, density 0.600, threshold 0.900). Steps (min, max, mean±stddev): 0, 3, 0.8 ± 0.
Ran 1000 trials (size 10×10, density 0.700, threshold 0.900). Steps (min, max, mean±stddev): 0, 1, 0.0 ± 0.
Ran 1000 trials (size 11×11, density 0.700, threshold 0.900). Steps (min, max, mean±stddev): 0, 2, 0.0 ± 0.
Ran 1000 trials (size 12×12, density 0.700, threshold 0.900). Steps (min, max, mean±stddev): 0, 1, 0.0 ± 0.
Ran 1000 trials (size 13×13, density 0.700, threshold 0.900). Steps (min, max, mean±stddev): 0, 1, 0.0 ± 0.
Ran 1000 trials (size 14×14, density 0.700, threshold 0.900). Steps (min, max, mean±stddev): 0, 1, 0.0 ± 0.
Ran 1000 trials (size 15×15, density 0.700, threshold 0.900). Steps (min, max, mean±stddev): 0, 1, 0.0 ± 0.
Ran 1000 trials (size 16×16, density 0.700, threshold 0.900). Steps (min, max, mean±stddev): 0, 1, 0.0 ± 0.
Ran 1000 trials (size 17×17, density 0.700, threshold 0.900). Steps (min, max, mean±stddev): 0, 1, 0.0 ± 0.
Ran 1000 trials (size 18×18, density 0.700, threshold 0.900). Steps (min, max, mean±stddev): 0, 1, 0.0 ± 0.
Ran 1000 trials (size 19×19, density 0.700, threshold 0.900). Steps (min, max, mean±stddev): 0, 1, 0.0 ± 0.
Ran 1000 trials (size 20×20, density 0.700, threshold 0.900). Steps (min, max, mean±stddev): 0, 1, 0.0 ± 0.
Ran 1000 trials (size 21×21, density 0.700, threshold 0.900). Steps (min, max, mean±stddev): 0, 1, 0.0 ± 0.
Ran 1000 trials (size 22×22, density 0.700, threshold 0.900). Steps (min, max, mean±stddev): 0, 2, 0.0 ± 0.
Ran 1000 trials (size 23×23, density 0.700, threshold 0.900). Steps (min, max, mean±stddev): 0, 1, 0.0 ± 0.
Ran 1000 trials (size 24×24, density 0.700, threshold 0.900). Steps (min, max, mean±stddev): 0, 1, 0.0 ± 0.
Ran 1000 trials (size 25×25, density 0.700, threshold 0.900). Steps (min, max, mean±stddev): 0, 1, 0.0 ± 0.
Ran 1000 trials (size 26×26, density 0.700, threshold 0.900). Steps (min, max, mean±stddev): 0, 1, 0.0 ± 0.
Ran 1000 trials (size 27×27, density 0.700, threshold 0.900). Steps (min, max, mean±stddev): 0, 1, 0.0 ± 0.
Ran 1000 trials (size 28×28, density 0.700, threshold 0.900). Steps (min, max, mean±stddev): 0, 1, 0.0 ± 0.
